id,district,primary_crop,year,month,day_of_year,season,is_kharif,is_rabi,rainfall_mm,temperature_c,humidity_pct,dam_level_pct,groundwater_level_m,crop_price_inr_qtl,price_volatility,msp_gap_inr,subsidy_delay_days,insurance_claim_rate,pm_kisan_coverage,complaint_count,distress_news_score,water_stress_index,market_stress_index,gov_failure_score,risk_score,risk_label,risk_category
56,Vijayapura,Soybean,2024,4,211,Summer,0,0,33.8,36.5,63.3,33.5,27.5,4913,606.2,2730,8,0.635,0.543,8,29.4,69.5,60.6,26.8,27.7,1,Alert
57,Bidar,Sorghum,2024,5,288,Summer,0,0,30.4,40.1,51.8,18.7,28.3,3139,277.2,956,44,0.636,0.525,6,27.1,76.5,27.7,45.8,39.8,1,Alert
58,Dharwad,Cotton,2023,5,302,Summer,0,0,87.2,40.2,69.9,17.7,29.0,7476,850.7,5293,42,0.416,0.676,9,31.5,76.7,85.1,37.2,35.8,1,Alert
59,Chikkamagaluru,Coffee,2022,9,111,Kharif,1,0,163.0,20.1,77.7,74.1,35.9,9586,1164.4,7403,28,0.085,0.722,5,22.7,45.0,116.4,27.9,33.9,1,Alert
60,Tumkuru,Groundnut,2022,12,14,Rabi,0,1,7.8,34.5,68.1,50.7,45.8,6565,750.6,4382,17,0.35,0.647,5,18.8,51.8,75.1,26.1,24.0,0,Safe
61,Dharwad,Cotton,2022,4,119,Summer,0,0,28.3,40.7,59.7,27.9,30.9,7464,797.9,5281,0,0.5,0.653,8,42.9,70.6,79.8,17.3,26.8,1,Alert
62,Belagavi,Sugarcane,2024,1,146,Rabi,0,1,5.5,29.9,65.4,50.6,48.4,3393,357.3,1210,19,0.276,0.718,9,26.9,50.5,35.7,23.6,28.9,1,Alert
63,Yadgir,Paddy,2022,6,198,Kharif,1,0,19.2,37.5,62.5,11.1,15.7,2184,280.1,1,3,0.674,0.526,11,35.0,86.6,28.0,25.2,34.5,1,Alert
64,Chikkaballapur,Tomato,2024,12,163,Rabi,0,1,6.2,35.1,54.5,33.0,40.4,691,130.4,-1492,71,0.386,0.611,6,37.9,63.3,28.0,55.0,22.5,0,Safe
65,Bengaluru,Tomato,2024,11,199,Rabi,0,1,46.1,30.2,72.5,38.7,47.0,669,83.8,-1514,10,0.152,0.512,3,0.0,57.1,23.5,29.4,12.8,0,Safe
66,Ballari,Cotton,2024,9,86,Kharif,1,0,114.9,38.4,81.1,40.3,31.5,7443,852.8,5260,25,0.479,0.627,8,46.9,64.1,85.3,31.1,32.9,1,Alert
67,Belagavi,Sugarcane,2024,10,192,Summer,0,0,100.9,38.0,73.5,57.6,55.5,3127,404.6,944,84,0.305,0.667,5,7.2,43.5,40.5,58.6,19.6,0,Safe
68,Ramanagara,Ragi,2023,3,167,Summer,0,0,7.0,40.2,70.0,34.5,29.7,4003,373.2,1820,30,0.348,0.675,7,13.4,67.9,37.3,31.2,29.7,1,Alert
69,Tumkuru,Groundnut,2022,8,176,Kharif,1,0,56.7,32.6,55.9,40.1,33.1,6410,764.4,4227,38,0.363,0.69,5,23.7,63.4,76.4,34.5,35.0,1,Alert
70,Ramanagara,Ragi,2023,9,154,Kharif,1,0,216.7,35.1,63.1,39.7,31.9,3899,453.1,1716,19,0.337,0.62,6,29.8,64.2,45.3,28.5,25.2,1,Alert
71,Chikkamagaluru,Coffee,2022,1,163,Rabi,0,1,9.0,17.8,85.9,63.5,56.5,9860,1200.9,7677,21,0.17,0.713,2,7.2,40.0,120.1,24.9,31.7,1,Alert
72,Kolar,Tomato,2023,7,201,Kharif,1,0,66.7,38.5,54.8,18.6,19.3,678,142.3,-1505,66,0.445,0.642,4,24.9,81.1,29.3,50.9,19.8,0,Safe
73,Kalaburagi,Soybean,2023,6,100,Kharif,1,0,32.9,35.7,67.7,12.4,17.7,4651,565.7,2468,74,0.617,0.557,9,43.5,84.9,56.6,59.1,33.6,1,Alert
74,Bengaluru,Tomato,2022,11,227,Rabi,0,1,36.3,33.0,61.1,29.1,44.9,644,36.1,-1539,9,0.186,0.59,5,13.8,63.0,19.0,25.0,10.0,0,Safe
75,Koppal,Paddy,2022,5,201,Summer,0,0,56.0,40.6,64.7,36.3,7.6,2459,236.5,276,22,0.574,0.566,8,30.9,78.1,23.6,32.7,24.1,0,Safe
76,Bengaluru,Tomato,2024,2,361,Rabi,0,1,7.3,39.8,69.1,23.5,34.2,656,66.4,-1527,5,0.077,0.531,4,29.9,71.2,21.9,25.9,16.6,0,Safe
77,Dharwad,Cotton,2023,1,106,Rabi,0,1,6.2,31.5,57.8,37.7,33.9,7006,848.3,4823,39,0.419,0.594,5,36.1,64.2,84.8,39.8,33.1,1,Alert
78,Davangere,Paddy,2022,12,240,Rabi,0,1,8.4,34.9,54.8,62.9,44.4,2093,296.7,-90,3,0.444,0.724,11,18.9,46.4,30.6,15.3,16.0,0,Safe
79,Dharwada,Cotton,2024,6,117,Kharif,1,0,43.1,35.3,63.7,23.2,24.0,6855,762.3,4672,13,0.428,0.684,9,6.6,76.4,76.2,22.3,37.8,1,Alert
80,Mysuru,Paddy,2024,12,41,Rabi,0,1,10.5,26.3,64.1,63.3,54.0,2277,327.4,94,4,0.304,0.741,4,13.3,41.4,32.7,15.0,13.9,0,Safe
81,Koppal,Paddy,2024,12,126,Rabi,0,1,4.0,33.5,60.4,49.1,40.3,2113,310.3,-70,3,0.474,0.586,7,29.1,55.3,31.7,22.2,23.7,0,Safe
82,Raichur,Paddy,2022,12,35,Rabi,0,1,7.1,34.5,62.3,20.7,23.3,2026,285.2,-157,34,0.631,0.517,7,6.7,78.0,30.1,41.1,25.0,1,Alert
83,Ballari,Cotton,2024,12,280,Rabi,0,1,4.9,34.3,65.5,47.4,29.9,6935,789.6,4752,72,0.485,0.688,7,33.7,61.3,79.0,51.6,38.0,1,Alert
84,Haveri,Cotton,2022,5,184,Summer,0,0,133.7,39.3,62.4,28.9,25.7,7455,882.6,5272,10,0.423,0.639,8,26.2,72.7,88.3,23.1,34.0,1,Alert
85,Yadgir,Paddy,2024,4,365,Summer,0,0,17.7,40.1,43.1,18.0,12.4,2413,220.8,230,44,0.734,0.502,10,50.8,84.8,22.1,46.9,26.5,1,Alert
86,Belagavi,Sugarcane,2022,5,37,Summer,0,0,67.1,38.6,70.7,29.8,32.2,3409,384.7,1226,33,0.379,0.662,2,32.2,69.0,38.5,33.4,32.5,1,Alert
87,Mysuru,Paddy,2022,2,61,Rabi,0,1,5.8,34.6,65.8,62.3,27.3,2277,261.1,94,13,0.251,0.829,2,7.9,55.2,26.1,15.1,19.2,0,Safe
88,Yadgir,Paddy,2022,7,233,Kharif,1,0,37.7,36.1,43.1,12.3,31.4,2235,291.1,52,36,0.721,0.522,10,43.5,78.2,29.1,41.9,31.8,1,Alert
89,Kolar,Tomato,2022,9,79,Kharif,1,0,86.8,38.6,64.9,29.5,21.3,726,181.5,-1457,33,0.422,0.643,9,32.3,74.6,32.7,34.3,26.8,1,Alert
90,Uttara Kannada,Paddy,2024,9,175,Kharif,1,0,169.0,30.2,67.3,86.5,39.8,2270,221.8,87,20,0.116,0.758,0,12.0,36.9,22.2,22.1,11.5,0,Safe
91,Bagalkot,Sugarcane,2022,12,355,Rabi,0,1,3.4,32.1,49.7,40.0,48.9,3235,380.8,1052,77,0.471,0.639,7,55.1,55.5,38.1,56.5,31.8,1,Alert
92,Kodagu,Coffee,2023,8,65,Kharif,1,0,325.0,21.7,80.6,67.0,39.3,9157,1141.6,6974,0,0.084,0.82,2,0.2,46.9,114.2,9.0,23.2,0,Safe
93,Hassan,Paddy,2024,9,111,Kharif,1,0,111.3,33.6,74.7,59.9,46.5,2077,242.0,-106,55,0.248,0.727,3,11.3,46.8,25.3,41.2,16.2,0,Safe
94,Yadgir,Paddy,2022,5,33,Summer,0,0,24.5,38.0,60.0,16.2,34.1,2434,339.3,251,50,0.737,0.511,11,47.6,74.8,33.9,49.5,43.7,1,Alert
95,Kodagu,Coffee,2022,8,119,Kharif,1,0,213.5,22.6,74.1,66.4,35.3,9613,1116.1,7430,2,0.13,0.75,4,23.1,49.1,111.6,13.5,32.6,1,Alert
96,Dharwada,Cotton,2023,8,188,Kharif,1,0,58.4,33.2,64.5,43.0,41.9,7174,837.4,4991,46,0.384,0.612,11,25.2,57.5,83.7,42.4,37.1,1,Alert
97,Belagavi,Sugarcane,2024,1,333,Rabi,0,1,2.5,32.9,60.7,49.1,42.6,3359,484.7,1176,17,0.255,0.695,3,18.5,54.1,48.5,23.8,29.9,1,Alert
98,Ramanagara,Ragi,2024,1,299,Rabi,0,1,9.3,32.6,66.1,32.0,46.2,3690,518.6,1507,33,0.215,0.689,4,0.6,60.9,51.9,32.1,23.9,0,Safe
99,Davangere,Paddy,2023,12,55,Rabi,0,1,5.8,33.0,59.1,58.5,56.9,2173,254.1,-10,171,0.427,0.674,8,20.6,42.3,25.5,101.8,28.9,1,Alert
100,Kolar,Tomato,2022,4,91,Summer,0,0,32.3,42.1,55.7,20.4,26.3,723,101.7,-1460,51,0.357,0.635,13,18.2,76.7,24.8,43.8,20.8,0,Safe
101,Hassan,Paddy,2023,7,324,Kharif,1,0,104.4,33.4,60.1,48.5,42.4,2293,293.8,110,1,0.124,0.721,6,33.4,54.5,29.4,14.5,22.9,0,Safe
102,Uttara Kannada,Paddy,2024,8,103,Kharif,1,0,96.7,26.2,65.1,79.9,30.1,2240,290.7,57,7,0.096,0.681,3,26.7,45.0,29.1,19.4,14.8,0,Safe
103,Yadgir,Paddy,2024,1,287,Rabi,0,1,3.4,29.7,60.4,12.4,16.8,2211,252.2,28,67,0.739,0.49,8,20.9,85.4,25.2,59.0,25.2,1,Alert
104,Ballari,Cotton,2022,9,73,Kharif,1,0,60.3,32.7,50.0,47.1,37.8,7003,862.9,4820,6,0.516,0.534,5,6.0,57.5,86.3,26.3,26.3,1,Alert
105,Gadag,Wheat,2022,11,339,Rabi,0,1,28.8,37.3,42.0,49.9,37.4,2197,199.3,14,35,0.529,0.628,9,40.2,56.4,19.9,36.1,19.0,0,Safe
106,Koppal,Paddy,2023,12,53,Rabi,0,1,4.8,30.4,48.7,35.5,47.0,2310,238.8,127,44,0.445,0.559,7,49.0,58.8,23.9,44.0,24.0,0,Safe
107,Mysuru,Paddy,2022,8,280,Kharif,1,0,61.9,29.6,59.0,63.3,48.7,2154,239.5,-29,7,0.175,0.848,3,0.0,44.0,24.2,11.1,16.0,0,Safe
108,Ballari,Cotton,2024,11,295,Rabi,0,1,22.6,32.6,54.0,45.5,53.3,6340,842.2,4157,17,0.568,0.685,6,57.5,50.6,84.2,24.2,26.3,1,Alert
109,Udupi,Paddy,2023,11,48,Rabi,0,1,44.5,29.0,77.2,92.5,53.7,2122,257.5,-61,16,0.126,0.833,2,0.0,26.9,26.4,16.4,26.6,1,Alert
110,Bengaluru,Tomato,2024,2,244,Rabi,0,1,6.9,34.9,69.7,16.0,32.2,678,151.1,-1505,25,0.176,0.541,4,19.7,75.9,30.2,35.5,23.6,0,Safe
111,Chikkaballapur,Tomato,2022,1,69,Rabi,0,1,3.3,28.1,63.8,23.2,24.7,731,135.0,-1452,12,0.403,0.627,9,0.0,76.0,28.0,24.6,29.4,1,Alert
112,Uttara Kannada,Paddy,2023,1,37,Rabi,0,1,9.7,28.7,78.9,89.9,41.3,2109,297.2,-74,21,0.028,0.685,2,0.0,34.4,30.5,26.2,9.4,0,Safe
113,Mysuru,Paddy,2022,9,260,Kharif,1,0,48.4,37.9,65.8,70.1,31.2,2250,227.9,67,39,0.232,0.774,6,0.0,49.4,22.8,30.8,25.4,1,Alert
114,Chikkamagaluru,Coffee,2024,10,153,Summer,0,0,231.4,19.7,62.4,83.8,51.1,8841,1162.0,6658,9,0.166,0.725,3,22.5,32.5,116.2,18.2,21.0,0,Safe
115,Gadag,Wheat,2024,3,150,Summer,0,0,19.1,39.0,58.0,32.0,11.9,2308,235.0,125,24,0.462,0.597,11,46.7,78.0,23.5,32.2,28.6,1,Alert
116,Chitradurga,Groundnut,2022,2,234,Rabi,0,1,11.5,32.5,64.0,24.9,25.2,6138,725.3,3955,31,0.482,0.675,10,31.7,74.9,72.5,31.7,27.2,1,Alert
117,Belagavi,Sugarcane,2023,7,17,Kharif,1,0,69.2,31.2,65.7,39.8,13.3,3274,404.0,1091,33,0.431,0.669,1,30.2,73.5,40.4,33.0,27.0,1,Alert
118,Koppal,Paddy,2022,1,86,Rabi,0,1,7.9,32.8,69.3,44.2,33.1,2187,211.2,4,18,0.527,0.548,8,19.2,61.4,21.1,31.6,19.5,0,Safe
119,Chikkamagaluru,Coffee,2022,2,45,Rabi,0,1,9.5,22.8,78.6,66.6,31.7,9337,1198.3,7154,10,0.179,0.725,4,4.7,50.9,119.8,18.8,29.8,1,Alert
120,Chamarajanagar,Ragi,2022,10,318,Summer,0,0,192.3,34.5,78.6,64.7,36.3,3602,502.5,1419,62,0.226,0.672,9,2.1,49.5,50.2,47.4,27.7,1,Alert
121,Ramanagara,Ragi,2024,8,313,Kharif,1,0,50.0,32.9,72.8,33.2,23.3,3750,447.6,1567,32,0.338,0.641,7,12.2,71.8,44.8,34.0,31.3,1,Alert
122,Chikkaballapur,Tomato,2024,11,278,Rabi,0,1,17.3,32.4,70.5,40.4,45.0,648,67.6,-1535,20,0.397,0.572,11,37.3,57.3,22.1,31.4,29.8,1,Alert
123,Bengaluru,Tomato,2024,6,276,Kharif,1,0,89.7,36.7,68.1,15.5,13.6,706,109.5,-1477,2,0.17,0.537,1,14.2,85.5,25.7,24.1,14.1,0,Safe
124,Bengaluru,Tomato,2024,7,256,Kharif,1,0,118.4,36.8,84.4,26.4,38.3,779,149.4,-1404,13,0.155,0.611,6,30.4,67.7,29.0,25.9,22.3,0,Safe
125,Bengaluru,Tomato,2023,4,14,Summer,0,0,29.2,35.5,77.7,23.9,32.2,749,77.6,-1434,28,0.236,0.489,4,29.8,71.9,22.1,39.6,19.7,0,Safe
126,Chitradurga,Groundnut,2022,1,142,Rabi,0,1,9.5,33.4,56.0,18.2,21.5,6352,778.4,4169,82,0.467,0.688,8,30.4,80.2,77.8,56.6,34.9,1,Alert
127,Tumkuru,Groundnut,2024,4,144,Summer,0,0,36.7,42.6,65.3,27.6,15.5,6791,814.5,4608,8,0.337,0.698,9,19.9,78.5,81.5,19.1,29.3,1,Alert
128,Dharwada,Cotton,2023,11,71,Rabi,0,1,35.5,30.4,58.4,38.9,39.2,6454,769.5,4271,11,0.473,0.655,4,15.7,61.0,77.0,22.8,27.2,1,Alert
129,Koppal,Paddy,2024,6,344,Kharif,1,0,24.2,35.6,70.3,25.6,24.0,2123,221.5,-60,25,0.459,0.581,4,38.7,75.2,22.8,33.5,27.6,1,Alert
130,Chitradurga,Groundnut,2023,9,106,Kharif,1,0,28.4,37.0,43.8,29.0,36.7,5973,752.8,3790,25,0.545,0.668,8,54.8,67.2,75.3,29.1,50.8,2,High Risk
131,Mandya,Sugarcane,2023,10,95,Summer,0,0,105.9,34.3,67.0,69.1,37.1,3059,377.6,876,15,0.298,0.729,9,34.1,46.9,37.8,21.1,22.2,0,Safe
132,Chikkaballapur,Tomato,2023,5,308,Summer,0,0,112.0,36.1,65.5,19.7,20.0,736,50.5,-1447,51,0.471,0.661,6,13.8,80.2,19.5,42.5,18.1,0,Safe
133,Dharwad,Cotton,2024,10,187,Summer,0,0,117.5,37.5,75.0,51.4,56.1,6517,842.4,4334,36,0.409,0.704,5,46.9,46.2,84.2,32.8,28.2,1,Alert
134,Tumkuru,Groundnut,2023,4,313,Summer,0,0,30.1,41.5,60.0,19.8,21.1,6525,764.8,4342,16,0.323,0.657,9,25.7,79.6,76.5,25.1,36.1,1,Alert
135,Chamarajanagar,Ragi,2022,9,227,Kharif,1,0,44.7,32.6,57.5,49.1,36.1,3939,430.4,1756,27,0.22,0.733,7,3.1,57.4,43.0,26.9,27.0,1,Alert
136,Mandya,Sugarcane,2023,3,252,Summer,0,0,5.9,36.0,64.4,35.2,31.3,3449,433.5,1266,1,0.29,0.746,3,16.9,66.8,43.4,13.2,32.0,1,Alert
137,Davangere,Paddy,2024,2,250,Rabi,0,1,6.7,37.1,56.2,45.2,26.9,2283,250.1,100,66,0.432,0.695,5,9.5,63.9,25.0,48.2,21.0,0,Safe
138,Mysuru,Paddy,2022,5,340,Summer,0,0,81.2,37.4,83.3,38.2,13.8,2210,295.2,27,3,0.218,0.732,10,19.1,74.0,29.5,14.9,21.5,0,Safe
139,Chamarajanagar,Ragi,2023,5,237,Summer,0,0,67.4,35.7,68.8,25.5,29.7,4072,437.5,1889,7,0.299,0.73,7,20.4,72.4,43.8,17.0,20.3,0,Safe
140,Shivamogga,Paddy,2024,2,31,Rabi,0,1,16.0,33.5,70.0,53.2,36.5,2241,207.3,58,38,0.221,0.685,5,0.0,55.1,20.7,34.8,4.6,0,Safe
